Timestamp,gender,media,age_limit,information,friend_stranger,policies,victim,government,social_sites,parents,school,opinion
29-12-2020 18:27,Male,"Instagram, WhatsApp",Yes,E-Mail,No,Yes,No,Yes,Yes,Yes,Yes,Not to get involved in anything that appears strange. Be aware
29-12-2020 18:30,Male,YouTube,No,"E-Mail, Date of birth",No,Can't Say,No,Maybe,Yes,Maybe,Yes,I don't want to say anything in this.
29-12-2020 18:35,Female,"Instagram, Twitter, Snapchat, YouTube, WhatsApp",Yes,"E-Mail, Mobile number, Date of birth",No,Yes,No,No,Yes,Yes,Yes,Not to provide personal information on social media
29-12-2020 19:07,Male,"Twitter, WhatsApp, Discord",Yes,Date of birth,No,Yes,No,Yes,Yes,Yes,Yes,Spreading awareness and telling people to report to others when bullied
29-12-2020 19:12,Female,WhatsApp,Yes,Other,No,No,No,Yes,Yes,Yes,Yes,"Encrypt data
Be smart about passwords"
29-12-2020 19:13,Female,WhatsApp,No,"E-Mail, Mobile number",No,Yes,No,No,Yes,Yes,Yes,"Entering limited info on your profile, accepting friend requests of only friends and family, keeping security measures in mind"
29-12-2020 19:20,Female,"Facebook, YouTube, WhatsApp",Yes,"E-Mail, Mobile number",No,Can't Say,No,Yes,Yes,Maybe,Yes,We should always be aware and careful so as to not leak too much information on these sites.
29-12-2020 19:58,Male,"Facebook, Instagram, Twitter, Snapchat, YouTube, WhatsApp, Discord, Any other",Yes,"E-Mail, Address, Mobile number, Date of birth, Other",No,Yes,No,Yes,No,Yes,Yes,"new measures
"
29-12-2020 20:22,Female,WhatsApp,Yes,Mobile number,No,Yes,No,Maybe,Yes,Yes,Yes,Parents regularly check if there children are using social media apps which are appropriate or necessary for their child’s age
29-12-2020 20:38,Male,"Instagram, YouTube, WhatsApp, Discord",Yes,"E-Mail, Mobile number",No,Yes,No,Yes,Yes,Yes,Yes,Making people aware about cyber security
29-12-2020 20:39,Male,"Instagram, YouTube, WhatsApp, Discord, Any other",Yes,"E-Mail, Mobile number, Date of birth, Other",No,Yes,No,Yes,Yes,Yes,Yes,"Use strong passwords.
Manage your social media settings.
Keep your software updated
Talk to your children about the internet"
29-12-2020 20:50,Female,"YouTube, WhatsApp",Yes,Other,No,Can't Say,No,Yes,Maybe,Yes,Yes,Just be truthful
29-12-2020 20:57,Male,"Instagram, Discord",Yes,Other,No,Yes,No,Yes,Yes,Yes,Yes,"In my opinion, one should  don't accept freind request of strangers
Moreover if any stranger tries to contact him/her he/she should immediately block him and tell about him/her to the concerned authorities "
29-12-2020 21:35,Male,"Facebook, Instagram, Twitter, YouTube, WhatsApp, Discord",Yes,"E-Mail, Mobile number, Date of birth",No,Yes,No,Yes,Yes,Yes,Yes,N
29-12-2020 23:17,Male,"Facebook, Instagram, Twitter, Snapchat, YouTube, WhatsApp, Discord, Any other",Yes,"E-Mail, Date of birth, Other",Yes,Can't Say,No,,Yes,Yes,No,Learn about how hackers can get ur info and try be one step ahead of them and have a good knowledge of malicious wares and sites and links
30-12-2020 02:50,Male,"Instagram, YouTube, Discord, Any other",Can't Say,Other,No,No,No,Maybe,Yes,Yes,Yes,"I think that most cyber crimes aren't carried out by individuals, but instead by major corporations via the theft of personal data. Implementing regulations against what a company can and can't do with machine learning algorithms and personal data would be a major step in the right direction"
30-12-2020 08:44,Male,"Facebook, Instagram, Twitter, YouTube, WhatsApp, Discord, Any other",Yes,E-Mail,No,Yes,No,Yes,Yes,Yes,Yes,Use the most private settings on social media
30-12-2020 08:51,Male,"Facebook, Instagram, Twitter, Snapchat, YouTube, WhatsApp, Discord, Any other",Yes,"E-Mail, Address, Mobile number, Date of birth, Other",Yes,Yes,Yes,No,No,No,No,You can just sit and fart.....and do something lol
30-12-2020 11:51,Male,"YouTube, Discord",Yes,E-Mail,No,Can't Say,No,Maybe,Yes,Yes,Yes,Not to use may soctaledit sites and accept requests from strangers
30-12-2020 12:13,Male,"YouTube, WhatsApp, Discord",Yes,"E-Mail, Mobile number, Date of birth",No,Yes,No,Yes,Yes,Yes,Yes,-
30-12-2020 16:36,Female,"Facebook, Instagram, Snapchat, WhatsApp, Discord",Yes,"E-Mail, Mobile number, Date of birth",No,Yes,No,Yes,Yes,Yes,Yes,Everything has its pros and cons n so does social networking sites. One should keep their profiles private n avoid accepting requests from strangers. One should not reveal their personal information on any such platform. These are a few things that might help in decreasing cyber crimes.
